task,model,demand_r2_raw,price_r2_raw,demand_r2_pca,price_r2_pca,cv_f1_macro,accuracy,macro_f1,best_k_by_silhouette,chosen_k,demand_r2,price_r2
regression_baseline,Linear Regression,0.6389030754456289,0.6809147170592617,0.4472112851468728,0.7010785482867795,,,,,,,
regression_baseline,KNN (k=5),0.5459651947629611,-1.102157293059653,0.5371528235518609,0.5018374279249682,,,,,,,
regression_baseline,Decision Tree,0.742091890864333,0.5942773229294043,0.37652947259407243,0.5172200728109027,,,,,,,
regression_baseline,Bayesian Ridge,0.6389018797359964,0.6808590441046217,0.44724723395866994,0.7010830620120936,,,,,,,
regression_baseline,Random Forest,0.8101686582810989,0.7214617846657946,,,,,,,,,
regression_baseline,XGBoost,0.8151175332254792,0.7363832451622825,,,,,,,,,
regression_baseline,LightGBM,0.8197158207492179,0.7281816344503351,,,,,,,,,
classification_demand,RandomForest,,,,,0.8017744151845975,0.8419461638117173,0.8423008315882682,,,,
classification_demand,XGBoost,,,,,0.7998312766560585,0.8428098459766806,0.8433325411671827,,,,
classification_price,RandomForest,,,,,0.592622678936638,0.7655102922124658,0.7240717891921786,,,,
classification_price,XGBoost,,,,,0.5882326132146949,0.7574492586728084,0.7174387643709439,,,,
clustering,KMeans,,,,,,,,2.0,3.0,,
regression_advanced,Random Forest,,,,,,,,,,0.8101686582810989,0.7214617846657946
regression_advanced,XGBoost,,,,,,,,,,0.8151175332254792,0.7363832451622825
regression_advanced,LightGBM,,,,,,,,,,0.8197158207492179,0.7281816344503351
